192.168.0.104, 2016-03-11 11:20:37, GET, /, HTTP/1.1, 303, 0.005638
192.168.0.104, 2016-03-11 11:20:37, GET, /welcome/default/index, HTTP/1.1, 200, 0.170804
192.168.0.104, 2016-03-11 11:20:37, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000511
192.168.0.104, 2016-03-11 11:20:37, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000758
192.168.0.104, 2016-03-11 11:20:37, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000921
192.168.0.104, 2016-03-11 11:20:37, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000562
192.168.0.104, 2016-03-11 11:20:37, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000734
192.168.0.104, 2016-03-11 11:20:37, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000778
192.168.0.104, 2016-03-11 11:20:37, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000721
192.168.0.104, 2016-03-11 11:20:37, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000528
192.168.0.104, 2016-03-11 11:20:37, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000727
192.168.0.104, 2016-03-11 11:20:37, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000735
192.168.0.104, 2016-03-11 11:20:38, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000610
192.168.0.104, 2016-03-11 11:20:38, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000527
192.168.0.104, 2016-03-11 11:20:38, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000562
192.168.0.104, 2016-03-11 11:20:38, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000474
192.168.0.104, 2016-03-11 11:20:38, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.002474
192.168.0.104, 2016-03-11 11:20:38, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000369
192.168.0.104, 2016-03-11 11:20:46, GET, /admin/default/site, HTTP/1.1, 303, 0.060692
192.168.0.104, 2016-03-11 11:20:47, GET, /admin/default/index, HTTP/1.1, 200, 0.025798
192.168.0.104, 2016-03-11 11:20:47, GET, /admin/static/_2.13.4/js/jquery.js, HTTP/1.1, 200, 0.000813
192.168.0.104, 2016-03-11 11:20:47, GET, /admin/static/_2.13.4/css/calendar.css, HTTP/1.1, 200, 0.000644
192.168.0.104, 2016-03-11 11:20:47, GET, /admin/static/_2.13.4/js/web2py.js, HTTP/1.1, 200, 0.000572
192.168.0.104, 2016-03-11 11:20:47, GET, /admin/static/_2.13.4/js/calendar.js, HTTP/1.1, 200, 0.000654
192.168.0.104, 2016-03-11 11:20:47, GET, /admin/static/_2.13.4/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001114
192.168.0.104, 2016-03-11 11:20:47, GET, /admin/static/_2.13.4/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000805
192.168.0.104, 2016-03-11 11:20:47, GET, /admin/static/_2.13.4/css/bootstrap.min.css, HTTP/1.1, 200, 0.000832
192.168.0.104, 2016-03-11 11:20:47, GET, /admin/static/_2.13.4/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001314
192.168.0.104, 2016-03-11 11:20:47, GET, /admin/static/_2.13.4/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000597
192.168.0.104, 2016-03-11 11:20:47, GET, /admin/static/_2.13.4/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001690
192.168.0.104, 2016-03-11 11:20:47, GET, /admin/static/_2.13.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.001683
192.168.0.104, 2016-03-11 11:20:47, GET, /admin/static/_2.13.4/js/bootstrap.min.js, HTTP/1.1, 200, 0.000968
192.168.0.104, 2016-03-11 11:20:47, GET, /admin/static/_2.13.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000657
192.168.0.104, 2016-03-11 11:20:47, GET, /admin/static/_2.13.4/images/questions.png, HTTP/1.1, 200, 0.000390
192.168.0.104, 2016-03-11 11:20:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000657
192.168.0.104, 2016-03-11 11:20:49, POST, /admin/default/index, HTTP/1.1, 303, 0.031623
192.168.0.104, 2016-03-11 11:20:49, GET, /admin/default/site, HTTP/1.1, 200, 0.038415
192.168.0.104, 2016-03-11 11:20:49, GET, /admin/static/_2.13.4/images/folder_locked.png, HTTP/1.1, 200, 0.001054
192.168.0.104, 2016-03-11 11:20:49, GET, /admin/static/_2.13.4/images/folder.png, HTTP/1.1, 200, 0.001251
192.168.0.104, 2016-03-11 11:20:49, GET, /admin/static/_2.13.4/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000717
192.168.0.104, 2016-03-11 11:20:49, POST, /admin/default/check_version, HTTP/1.1, 200, 0.401973
192.168.0.104, 2016-03-11 11:20:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000443
192.168.0.104, 2016-03-11 11:21:20, POST, /admin/default/site, HTTP/1.1, 200, 0.060597
192.168.0.104, 2016-03-11 11:21:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000348
192.168.0.104, 2016-03-11 11:21:24, POST, /admin/default/site, HTTP/1.1, 303, 0.116970
192.168.0.104, 2016-03-11 11:21:24, GET, /admin/default/design/AttandencePlus, HTTP/1.1, 200, 0.126698
192.168.0.104, 2016-03-11 11:21:24, GET, /admin/static/_2.13.4/images/search.png, HTTP/1.1, 200, 0.000676
192.168.0.104, 2016-03-11 11:21:24, GET, /admin/static/_2.13.4/images/help.png, HTTP/1.1, 200, 0.000648
192.168.0.104, 2016-03-11 11:21:24, GET, /admin/static/_2.13.4/images/delete_icon.png, HTTP/1.1, 200, 0.000550
192.168.0.104, 2016-03-11 11:21:24, GET, /admin/static/_2.13.4/images/test_icon.png, HTTP/1.1, 200, 0.000819
192.168.0.104, 2016-03-11 11:21:24, GET, /favicon.ico, HTTP/1.1, 400, 0.000337
192.168.0.104, 2016-03-11 11:22:53, GET, /, HTTP/1.1, 303, 0.000570
192.168.0.104, 2016-03-11 11:22:53, GET, /welcome/default/index, HTTP/1.1, 200, 0.019964
192.168.0.104, 2016-03-11 11:23:06, GET, /AttendacePlus, HTTP/1.1, 404, 0.000311
192.168.0.104, 2016-03-11 11:23:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000381
192.168.0.104, 2016-03-11 11:23:10, GET, /, HTTP/1.1, 303, 0.000356
192.168.0.104, 2016-03-11 11:23:10, GET, /welcome/default/index, HTTP/1.1, 200, 0.016341
192.168.0.104, 2016-03-11 11:23:53, GET, /, HTTP/1.1, 400, 0.000406
192.168.0.104, 2016-03-11 11:23:54, GET, /favicon.ico, HTTP/1.1, 400, 0.000313
192.168.0.104, 2016-03-11 11:23:56, GET, /, HTTP/1.1, 400, 0.000227
192.168.0.104, 2016-03-11 11:23:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000402
192.168.0.104, 2016-03-11 11:24:49, GET, /, HTTP/1.1, 400, 0.000215
192.168.0.104, 2016-03-11 11:24:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000396
192.168.0.104, 2016-03-11 11:25:12, GET, /, HTTP/1.1, 303, 0.006247
192.168.0.104, 2016-03-11 11:25:13, GET, /welcome/default/index, HTTP/1.1, 200, 0.103927
127.0.0.1, 2016-03-11 11:25:24, GET, /, HTTP/1.1, 303, 0.009720
127.0.0.1, 2016-03-11 11:25:24, GET, /welcome/default/index, HTTP/1.1, 200, 0.097695
127.0.0.1, 2016-03-11 11:25:24, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000521
127.0.0.1, 2016-03-11 11:25:24, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000717
127.0.0.1, 2016-03-11 11:25:24, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000546
127.0.0.1, 2016-03-11 11:25:24, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000940
127.0.0.1, 2016-03-11 11:25:24, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000651
127.0.0.1, 2016-03-11 11:25:24, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001033
127.0.0.1, 2016-03-11 11:25:24, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000535
127.0.0.1, 2016-03-11 11:25:24, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000772
127.0.0.1, 2016-03-11 11:25:24, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000585
127.0.0.1, 2016-03-11 11:25:24, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000523
127.0.0.1, 2016-03-11 11:25:24, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000662
127.0.0.1, 2016-03-11 11:25:24, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000710
127.0.0.1, 2016-03-11 11:25:24, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000609
127.0.0.1, 2016-03-11 11:25:24, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000588
127.0.0.1, 2016-03-11 11:25:24, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000554
127.0.0.1, 2016-03-11 11:25:24, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000315
127.0.0.1, 2016-03-11 11:25:33, GET, /admin/default/site, HTTP/1.1, 303, 0.055506
127.0.0.1, 2016-03-11 11:25:33, GET, /admin/default/index, HTTP/1.1, 200, 0.028147
127.0.0.1, 2016-03-11 11:25:33, GET, /admin/static/_2.13.4/css/calendar.css, HTTP/1.1, 200, 0.000734
127.0.0.1, 2016-03-11 11:25:33, GET, /admin/static/_2.13.4/js/jquery.js, HTTP/1.1, 200, 0.002653
127.0.0.1, 2016-03-11 11:25:33, GET, /admin/static/_2.13.4/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001140
127.0.0.1, 2016-03-11 11:25:33, GET, /admin/static/_2.13.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001016
127.0.0.1, 2016-03-11 11:25:33, GET, /admin/static/_2.13.4/js/calendar.js, HTTP/1.1, 200, 0.001438
127.0.0.1, 2016-03-11 11:25:33, GET, /admin/static/_2.13.4/js/web2py.js, HTTP/1.1, 200, 0.003402
